value,value1,name,piece
Poradové číslo:,1,CPIN ŠTEFAN (1919 - 1971),Dievča
Vyvolávacia cena:,400 €,CPIN ŠTEFAN (1919 - 1971),Dievča
Konečná cena:,320 €,CPIN ŠTEFAN (1919 - 1971),Dievča
Poradové číslo:,2,HÁLA JAN (1890 - 1959),Dievča na lúke (Leto)
Vyvolávacia cena:,20 000 €,HÁLA JAN (1890 - 1959),Dievča na lúke (Leto)
Konečná cena:,26 000 €,HÁLA JAN (1890 - 1959),Dievča na lúke (Leto)
Poradové číslo:,3,HÁLA JAN (1890 - 1959),Bocian
Nevydražené,,HÁLA JAN (1890 - 1959),Bocian
Cena v predaji:,600 €,HÁLA JAN (1890 - 1959),Bocian
Poradové číslo:,4,HÁLA JAN (1890 - 1959),Korponay - ilustrácia.
Vyvolávacia cena:,400 €,HÁLA JAN (1890 - 1959),Korponay - ilustrácia.
Konečná cena:,400 €,HÁLA JAN (1890 - 1959),Korponay - ilustrácia.
Poradové číslo:,5,HÁLA JAN (1890 - 1959),Važecký chlapček
Vyvolávacia cena:,200 €,HÁLA JAN (1890 - 1959),Važecký chlapček
Konečná cena:,200 €,HÁLA JAN (1890 - 1959),Važecký chlapček
Poradové číslo:,6,SATIN JOZEF (1913 - 1956),Usadlosť pri Ríme
Vyvolávacia cena:,1 200 €,SATIN JOZEF (1913 - 1956),Usadlosť pri Ríme
Konečná cena:,900 €,SATIN JOZEF (1913 - 1956),Usadlosť pri Ríme
Poradové číslo:,7,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina I.
Vyvolávacia cena:,750 €,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina I.
Konečná cena:,600 €,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina I.
Poradové číslo:,8,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina II.
Vyvolávacia cena:,280 €,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina II.
Konečná cena:,400 €,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina II.
Poradové číslo:,9,GROTKOVSKÝ JÁN (1902 - 1961),Zima pod Tatrami
Vyvolávacia cena:,280 €,GROTKOVSKÝ JÁN (1902 - 1961),Zima pod Tatrami
Konečná cena:,280 €,GROTKOVSKÝ JÁN (1902 - 1961),Zima pod Tatrami
Poradové číslo:,10,KOLLÁR JOZEF (1899 - 1982),Zima v banskoštiavnických vrchoch
Vyvolávacia cena:,400 €,KOLLÁR JOZEF (1899 - 1982),Zima v banskoštiavnických vrchoch
Konečná cena:,400 €,KOLLÁR JOZEF (1899 - 1982),Zima v banskoštiavnických vrchoch
Poradové číslo:,11,POLÓNYI KAROL (1894 - 1946),Pohľad na Štrbské pleso
Vyvolávacia cena:,450 €,POLÓNYI KAROL (1894 - 1946),Pohľad na Štrbské pleso
Konečná cena:,450 €,POLÓNYI KAROL (1894 - 1946),Pohľad na Štrbské pleso
Poradové číslo:,12,POLÓNYI KAROL (1894 - 1946),Pohľad na Tatry
Vyvolávacia cena:,450 €,POLÓNYI KAROL (1894 - 1946),Pohľad na Tatry
Konečná cena:,450 €,POLÓNYI KAROL (1894 - 1946),Pohľad na Tatry
Poradové číslo:,13,STRUHÁR ALOJZ (1892 - 1968),Bača s ovcami
Vyvolávacia cena:,300 €,STRUHÁR ALOJZ (1892 - 1968),Bača s ovcami
Konečná cena:,350 €,STRUHÁR ALOJZ (1892 - 1968),Bača s ovcami
Poradové číslo:,14,KERN PETER JÚLIUS (1881 - 1963),Kriváň
Vyvolávacia cena:,500 €,KERN PETER JÚLIUS (1881 - 1963),Kriváň
Konečná cena:,500 €,KERN PETER JÚLIUS (1881 - 1963),Kriváň
Poradové číslo:,15,GWERK EDMUND (1895 - 1956),Hmlisté ráno
Vyvolávacia cena:,100 €,GWERK EDMUND (1895 - 1956),Hmlisté ráno
Konečná cena:,130 €,GWERK EDMUND (1895 - 1956),Hmlisté ráno
Poradové číslo:,16,VOTRUBA JAROSLAV (1889 - 1971),Popradské pleso
Vyvolávacia cena:,250 €,VOTRUBA JAROSLAV (1889 - 1971),Popradské pleso
Konečná cena:,280 €,VOTRUBA JAROSLAV (1889 - 1971),Popradské pleso
Poradové číslo:,17,VOTRUBA JAROSLAV (1889 - 1971),Na okraji dediny – Jeseň
Vyvolávacia cena:,120 €,VOTRUBA JAROSLAV (1889 - 1971),Na okraji dediny – Jeseň
Konečná cena:,150 €,VOTRUBA JAROSLAV (1889 - 1971),Na okraji dediny – Jeseň
Poradové číslo:,18,ŠTEFUNKO FRAŇO (1903 - 1974),Jánošík
Vyvolávacia cena:,4 800 €,ŠTEFUNKO FRAŇO (1903 - 1974),Jánošík
Konečná cena:,4 800 €,ŠTEFUNKO FRAŇO (1903 - 1974),Jánošík
Poradové číslo:,19,ŠTEFUNKO FRAŇO (1903 - 1974),Anton Bernolák – štúdia
Nevydražené,,ŠTEFUNKO FRAŇO (1903 - 1974),Anton Bernolák – štúdia
Cena v predaji:,900 €,ŠTEFUNKO FRAŇO (1903 - 1974),Anton Bernolák – štúdia
Poradové číslo:,20,MEDVECKÁ MÁRIA (1914 - 1987),Letná krajina
Vyvolávacia cena:,1 100 €,MEDVECKÁ MÁRIA (1914 - 1987),Letná krajina
Konečná cena:,2 500 €,MEDVECKÁ MÁRIA (1914 - 1987),Letná krajina
Poradové číslo:,21,MEDVECKÁ MÁRIA (1914 - 1987),Orava
Vyvolávacia cena:,500 €,MEDVECKÁ MÁRIA (1914 - 1987),Orava
Konečná cena:,800 €,MEDVECKÁ MÁRIA (1914 - 1987),Orava
Poradové číslo:,22,MEDVECKÁ MÁRIA (1914 - 1987),Žena pri kopaní zemiakov
Vyvolávacia cena:,280 €,MEDVECKÁ MÁRIA (1914 - 1987),Žena pri kopaní zemiakov
Konečná cena:,350 €,MEDVECKÁ MÁRIA (1914 - 1987),Žena pri kopaní zemiakov
Poradové číslo:,23,SATIN JOZEF (1913 - 1956),Lovecké zátišie
Vyvolávacia cena:,700 €,SATIN JOZEF (1913 - 1956),Lovecké zátišie
Konečná cena:,700 €,SATIN JOZEF (1913 - 1956),Lovecké zátišie
Poradové číslo:,24,MEDVECKÁ MÁRIA (1914 - 1987),Jesenné kvety
Vyvolávacia cena:,1 200 €,MEDVECKÁ MÁRIA (1914 - 1987),Jesenné kvety
Konečná cena:,2 500 €,MEDVECKÁ MÁRIA (1914 - 1987),Jesenné kvety
Poradové číslo:,25,KOLLÁR JOZEF (1899 - 1982),Kytica v keramickej váze
Vyvolávacia cena:,600 €,KOLLÁR JOZEF (1899 - 1982),Kytica v keramickej váze
Konečná cena:,500 €,KOLLÁR JOZEF (1899 - 1982),Kytica v keramickej váze
Poradové číslo:,26,VESTENICKÝ VLADIMÍR (1919 - 1979),Kytica kvetov vo váze
Vyvolávacia cena:,270 €,VESTENICKÝ VLADIMÍR (1919 - 1979),Kytica kvetov vo váze
Konečná cena:,270 €,VESTENICKÝ VLADIMÍR (1919 - 1979),Kytica kvetov vo váze
Poradové číslo:,27,DÚBRAVEC RÓBERT (1924 - 1976),Zátišie s jablkami
Nevydražené,,DÚBRAVEC RÓBERT (1924 - 1976),Zátišie s jablkami
Cena v predaji:,800 €,DÚBRAVEC RÓBERT (1924 - 1976),Zátišie s jablkami
Poradové číslo:,28,KOCKA  ANDREJ ANDREJOVIČ (1911 - 1987),Kytica
Vyvolávacia cena:,900 €,KOCKA  ANDREJ ANDREJOVIČ (1911 - 1987),Kytica
Konečná cena:,1 150 €,KOCKA  ANDREJ ANDREJOVIČ (1911 - 1987),Kytica
Poradové číslo:,29,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dámy
Nevydražené,,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dámy
Cena v predaji:,1 100 €,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dámy
Poradové číslo:,30,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dievčaťa
Nevydražené,,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dievčaťa
Cena v predaji:,300 €,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dievčaťa
Poradové číslo:,31,NEMČÍK JÚLIUS (1909 - 1986),Zber zemiakov
Nevydražené,,NEMČÍK JÚLIUS (1909 - 1986),Zber zemiakov
Cena v predaji:,2 500 €,NEMČÍK JÚLIUS (1909 - 1986),Zber zemiakov
Poradové číslo:,32,NEMČÍK JÚLIUS (1909 - 1986),Východoslovenská krajina
Vyvolávacia cena:,250 €,NEMČÍK JÚLIUS (1909 - 1986),Východoslovenská krajina
Konečná cena:,250 €,NEMČÍK JÚLIUS (1909 - 1986),Východoslovenská krajina
Poradové číslo:,33,Žambor Štefan (1902 - ?),Krajina od Piešťan
Vyvolávacia cena:,500 €,Žambor Štefan (1902 - ?),Krajina od Piešťan
Konečná cena:,400 €,Žambor Štefan (1902 - ?),Krajina od Piešťan
Poradové číslo:,34,SZEMERE-SZMRTNIK MIKULÁŠ (1894 - 1961),Žatva
Nevydražené,,SZEMERE-SZMRTNIK MIKULÁŠ (1894 - 1961),Žatva
Cena v predaji:,1 000 €,SZEMERE-SZMRTNIK MIKULÁŠ (1894 - 1961),Žatva
Poradové číslo:,35,VELBA MARIÁN (1930 - 1991),Pri tehelni
Nevydražené,,VELBA MARIÁN (1930 - 1991),Pri tehelni
Cena v predaji:,300 €,VELBA MARIÁN (1930 - 1991),Pri tehelni
Poradové číslo:,36,SCHILLEROVÁ GABRIELA (1924 - 1993),Ležiaci akt
Nevydražené,,SCHILLEROVÁ GABRIELA (1924 - 1993),Ležiaci akt
Cena v predaji:,250 €,SCHILLEROVÁ GABRIELA (1924 - 1993),Ležiaci akt
Poradové číslo:,37,CHOVÁN LÓRÁND (1913 - 2007),Michalská brána v Bratislave
Vyvolávacia cena:,400 €,CHOVÁN LÓRÁND (1913 - 2007),Michalská brána v Bratislave
Konečná cena:,320 €,CHOVÁN LÓRÁND (1913 - 2007),Michalská brána v Bratislave
Poradové číslo:,38,AUGUSTA JAROSLAV (1878 - 1970),Jesenné hmly v Tatrách
Nevydražené,,AUGUSTA JAROSLAV (1878 - 1970),Jesenné hmly v Tatrách
Cena v predaji:,600 €,AUGUSTA JAROSLAV (1878 - 1970),Jesenné hmly v Tatrách
Poradové číslo:,39,MARKÓ KAROL (KÁROLY) ST. (1791 - 1860),Krajina s antickou ruinou a zapadajúcim slnkom
Nevydražené,,MARKÓ KAROL (KÁROLY) ST. (1791 - 1860),Krajina s antickou ruinou a zapadajúcim slnkom
Cena v predaji:,40 000 €,MARKÓ KAROL (KÁROLY) ST. (1791 - 1860),Krajina s antickou ruinou a zapadajúcim slnkom
Poradové číslo:,40,KERN HERMAN (1838 - 1912),Muzikant
Vyvolávacia cena:,3 800 €,KERN HERMAN (1838 - 1912),Muzikant
Konečná cena:,3 000 €,KERN HERMAN (1838 - 1912),Muzikant
Poradové číslo:,41,KERN HERMAN (1838 - 1912),V kováčskej dielni
Nevydražené,,KERN HERMAN (1838 - 1912),V kováčskej dielni
Cena v predaji:,3 700 €,KERN HERMAN (1838 - 1912),V kováčskej dielni
Poradové číslo:,42,BURCHARD-BÉLAVÁRY ISTVÁN (ŠTEFAN) (1864 - 1933),Svadba
Vyvolávacia cena:,300 €,BURCHARD-BÉLAVÁRY ISTVÁN (ŠTEFAN) (1864 - 1933),Svadba
Konečná cena:,300 €,BURCHARD-BÉLAVÁRY ISTVÁN (ŠTEFAN) (1864 - 1933),Svadba
Poradové číslo:,43,BURCHARD-BÉLAVÁRY ISTVÁN (ŠTEFAN) (1864 - 1933),S koňmi
Vyvolávacia cena:,200 €,BURCHARD-BÉLAVÁRY ISTVÁN (ŠTEFAN) (1864 - 1933),S koňmi
Konečná cena:,200 €,BURCHARD-BÉLAVÁRY ISTVÁN (ŠTEFAN) (1864 - 1933),S koňmi
Poradové číslo:,44,MEDNYÁNSZKY LADISLAV (1864 - 1932),Hrad Strečno
Nevydražené,,MEDNYÁNSZKY LADISLAV (1864 - 1932),Hrad Strečno
Cena v predaji:,6 500 €,MEDNYÁNSZKY LADISLAV (1864 - 1932),Hrad Strečno
Poradové číslo:,45,NÁNDOR  KATONA (1864 - 1932),Zimné ráno v Tatrách
Vyvolávacia cena:,400 €,NÁNDOR  KATONA (1864 - 1932),Zimné ráno v Tatrách
Konečná cena:,400 €,NÁNDOR  KATONA (1864 - 1932),Zimné ráno v Tatrách
Poradové číslo:,46,KATONA NÁNDOR (1864 - 1932),Záhrady
Vyvolávacia cena:,950 €,KATONA NÁNDOR (1864 - 1932),Záhrady
Konečná cena:,750 €,KATONA NÁNDOR (1864 - 1932),Záhrady
Poradové číslo:,47,SCHURMANN MAX (1890 - 1960),Pod hradom
Vyvolávacia cena:,400 €,SCHURMANN MAX (1890 - 1960),Pod hradom
Konečná cena:,950 €,SCHURMANN MAX (1890 - 1960),Pod hradom
Poradové číslo:,48,SCHURMANN MAX (1890 - 1960),Tatranský motív
Vyvolávacia cena:,300 €,SCHURMANN MAX (1890 - 1960),Tatranský motív
Konečná cena:,650 €,SCHURMANN MAX (1890 - 1960),Tatranský motív
Poradové číslo:,49,MARX (VOJTECH) BÉLA (1885 - 1963),Michalská veža v Bratislave
Nevydražené,,MARX (VOJTECH) BÉLA (1885 - 1963),Michalská veža v Bratislave
Cena v predaji:,1 400 €,MARX (VOJTECH) BÉLA (1885 - 1963),Michalská veža v Bratislave
Poradové číslo:,50,MARX (VOJTECH) BÉLA  (1885 - 1963),Hlavné námestie v Bratislave
Vyvolávacia cena:,1 400 €,MARX (VOJTECH) BÉLA  (1885 - 1963),Hlavné námestie v Bratislave
Konečná cena:,1 100 €,MARX (VOJTECH) BÉLA  (1885 - 1963),Hlavné námestie v Bratislave
Poradové číslo:,51,BÁNSÁGHI VINCENT (1881 - 1960),Ranná toaleta
Nevydražené,,BÁNSÁGHI VINCENT (1881 - 1960),Ranná toaleta
Cena v predaji:,1 300 €,BÁNSÁGHI VINCENT (1881 - 1960),Ranná toaleta
Poradové číslo:,52,BELÁNYI VIKTOR (1877 - 1955),Kytica
Vyvolávacia cena:,600 €,BELÁNYI VIKTOR (1877 - 1955),Kytica
Konečná cena:,500 €,BELÁNYI VIKTOR (1877 - 1955),Kytica
Poradové číslo:,53,ENDER JOHAN THOMAS - PRIPISOVANĚ (1793 - 1875),Ilava
Nevydražené,,ENDER JOHAN THOMAS - PRIPISOVANĚ (1793 - 1875),Ilava
Cena v predaji:,1 800 €,ENDER JOHAN THOMAS - PRIPISOVANĚ (1793 - 1875),Ilava
Poradové číslo:,54,BÁNSÁGHI VINCENT (1881 - 1960),Na ramene Dunaja
Vyvolávacia cena:,900 €,BÁNSÁGHI VINCENT (1881 - 1960),Na ramene Dunaja
Konečná cena:,1 400 €,BÁNSÁGHI VINCENT (1881 - 1960),Na ramene Dunaja
Poradové číslo:,55,CSORDÁK ĽUDOVÍT (1864 - 1937),Na stráni
Vyvolávacia cena:,150 €,CSORDÁK ĽUDOVÍT (1864 - 1937),Na stráni
Konečná cena:,150 €,CSORDÁK ĽUDOVÍT (1864 - 1937),Na stráni
Poradové číslo:,56,KIESELBACH GEJZA (1893 - 1965),Konský povoz
Vyvolávacia cena:,1 200 €,KIESELBACH GEJZA (1893 - 1965),Konský povoz
Konečná cena:,1 200 €,KIESELBACH GEJZA (1893 - 1965),Konský povoz
Poradové číslo:,57,REICHENTÁL FRANTIŠEK (1895 - 1971),Paríž
Vyvolávacia cena:,900 €,REICHENTÁL FRANTIŠEK (1895 - 1971),Paríž
Konečná cena:,700 €,REICHENTÁL FRANTIŠEK (1895 - 1971),Paríž
Poradové číslo:,58,JASUSCH ANTON (1882 - 1965),Lomnický štít
Nevydražené,,JASUSCH ANTON (1882 - 1965),Lomnický štít
Cena v predaji:,6 200 €,JASUSCH ANTON (1882 - 1965),Lomnický štít
Poradové číslo:,59,JASUSCH ANTON (1882 - 1965),Jar v sade
Nevydražené,,JASUSCH ANTON (1882 - 1965),Jar v sade
Cena v predaji:,4 800 €,JASUSCH ANTON (1882 - 1965),Jar v sade
Poradové číslo:,60,JASUSCH ANTON (1882 - 1965),Jesenný les
Nevydražené,,JASUSCH ANTON (1882 - 1965),Jesenný les
Cena v predaji:,1 900 €,JASUSCH ANTON (1882 - 1965),Jesenný les
Poradové číslo:,61,HÁLA JAN (1890 - 1959),Važecké dievča (pri práci)
Vyvolávacia cena:,44 000 €,HÁLA JAN (1890 - 1959),Važecké dievča (pri práci)
Konečná cena:,70 000 €,HÁLA JAN (1890 - 1959),Važecké dievča (pri práci)
Poradové číslo:,62,HÁLA JAN (1890 - 1959),9 ilustrácií ku knihe Maľovaný rok (vyd. Mladé letá)
Vyvolávacia cena:,7 000 €,HÁLA JAN (1890 - 1959),9 ilustrácií ku knihe Maľovaný rok (vyd. Mladé letá)
Konečná cena:,7 800 €,HÁLA JAN (1890 - 1959),9 ilustrácií ku knihe Maľovaný rok (vyd. Mladé letá)
Poradové číslo:,63,FLACHÉ JÚLIUS (GYULA) (1892 - 1967),Koncert v prírode
Nevydražené,,FLACHÉ JÚLIUS (GYULA) (1892 - 1967),Koncert v prírode
Cena v predaji:,7 500 €,FLACHÉ JÚLIUS (GYULA) (1892 - 1967),Koncert v prírode
Poradové číslo:,64,FLACHÉ JÚLIUS (GYULA) (1892 - 1967),Kosci v horách
Nevydražené,,FLACHÉ JÚLIUS (GYULA) (1892 - 1967),Kosci v horách
Cena v predaji:,4 000 €,FLACHÉ JÚLIUS (GYULA) (1892 - 1967),Kosci v horách
Poradové číslo:,65,FLACHÉ JÚLIUS (GYULA) (1892 - 1967),Námestie v Banskej Bystrici
Nevydražené,,FLACHÉ JÚLIUS (GYULA) (1892 - 1967),Námestie v Banskej Bystrici
Cena v predaji:,3 900 €,FLACHÉ JÚLIUS (GYULA) (1892 - 1967),Námestie v Banskej Bystrici
Poradové číslo:,66,HÁLA JAN (1890 - 1959),Priadka
Vyvolávacia cena:,44 000 €,HÁLA JAN (1890 - 1959),Priadka
Konečná cena:,35 000 €,HÁLA JAN (1890 - 1959),Priadka
Poradové číslo:,67,WEINER-KRÁĽ IMRO (1901 - 1978),Fašiangy
Vyvolávacia cena:,15 000 €,WEINER-KRÁĽ IMRO (1901 - 1978),Fašiangy
Konečná cena:,15 000 €,WEINER-KRÁĽ IMRO (1901 - 1978),Fašiangy
Poradové číslo:,68,JAKOBY JÚLIUS (1903 - 1985),Portrét matky
Nevydražené,,JAKOBY JÚLIUS (1903 - 1985),Portrét matky
Cena v predaji:,18 000 €,JAKOBY JÚLIUS (1903 - 1985),Portrét matky
Poradové číslo:,69,ALEXY JANKO (1894 - 1970),Dáma v bielych šatách
Vyvolávacia cena:,1 800 €,ALEXY JANKO (1894 - 1970),Dáma v bielych šatách
Konečná cena:,1 800 €,ALEXY JANKO (1894 - 1970),Dáma v bielych šatách
Poradové číslo:,70,ALEXY JANKO (1894 - 1970),Pohľad na Trenčiansky hrad
Vyvolávacia cena:,600 €,ALEXY JANKO (1894 - 1970),Pohľad na Trenčiansky hrad
Konečná cena:,600 €,ALEXY JANKO (1894 - 1970),Pohľad na Trenčiansky hrad
Poradové číslo:,71,BAZOVSKÝ MILOŠ ALEXANDER (1899 - 1968),Hviezdoslavov salaš
Nevydražené,,BAZOVSKÝ MILOŠ ALEXANDER (1899 - 1968),Hviezdoslavov salaš
Cena v predaji:,1 200 €,BAZOVSKÝ MILOŠ ALEXANDER (1899 - 1968),Hviezdoslavov salaš
Poradové číslo:,72,BÁRTFAY JÚLIUS (1888 - 1979),Baník
Vyvolávacia cena:,1 700 €,BÁRTFAY JÚLIUS (1888 - 1979),Baník
Konečná cena:,1 400 €,BÁRTFAY JÚLIUS (1888 - 1979),Baník
Poradové číslo:,73,BÁRTFAY JÚLIUS (1888 - 1979),Akt – torzo
Nevydražené,,BÁRTFAY JÚLIUS (1888 - 1979),Akt – torzo
Cena v predaji:,1 500 €,BÁRTFAY JÚLIUS (1888 - 1979),Akt – torzo
Poradové číslo:,74,BENKA MARTIN (1888 - 1971),Dievča z Liptova
Vyvolávacia cena:,15 000 €,BENKA MARTIN (1888 - 1971),Dievča z Liptova
Konečná cena:,15 000 €,BENKA MARTIN (1888 - 1971),Dievča z Liptova
Poradové číslo:,76,BENKA MARTIN (1888 - 1971),"Ohlas jari, hôr a salašov slovenských..."
Vyvolávacia cena:,14 000 €,BENKA MARTIN (1888 - 1971),"Ohlas jari, hôr a salašov slovenských..."
Konečná cena:,14 200 €,BENKA MARTIN (1888 - 1971),"Ohlas jari, hôr a salašov slovenských..."
Poradové číslo:,80,PALUGYAY ZOLO (1898 - 1935),Ležiaci akt
Vyvolávacia cena:,350 €,PALUGYAY ZOLO (1898 - 1935),Ležiaci akt
Konečná cena:,280 €,PALUGYAY ZOLO (1898 - 1935),Ležiaci akt
Poradové číslo:,81,SOKOL  KOLOMAN (1902 - 2001),Mexický motív
Nevydražené,,SOKOL  KOLOMAN (1902 - 2001),Mexický motív
Cena v predaji:,350 €,SOKOL  KOLOMAN (1902 - 2001),Mexický motív
Poradové číslo:,82,MAJERNÍK CYPRIÁN (1909 - 1945),Utečenci
Vyvolávacia cena:,500 €,MAJERNÍK CYPRIÁN (1909 - 1945),Utečenci
Konečná cena:,500 €,MAJERNÍK CYPRIÁN (1909 - 1945),Utečenci
Poradové číslo:,83,PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976),Trh
Nevydražené,,PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976),Trh
Cena v predaji:,9 000 €,PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976),Trh
Poradové číslo:,84,MUDROCH JÁN (1909 - 1968),Dievča s kvetom vo vlasoch
Nevydražené,,MUDROCH JÁN (1909 - 1968),Dievča s kvetom vo vlasoch
Cena v predaji:,6 000 €,MUDROCH JÁN (1909 - 1968),Dievča s kvetom vo vlasoch
Poradové číslo:,85,MUDROCH JÁN (1909 - 1968),Hlava ženy z poloprofilu
Nevydražené,,MUDROCH JÁN (1909 - 1968),Hlava ženy z poloprofilu
Cena v predaji:,2 500 €,MUDROCH JÁN (1909 - 1968),Hlava ženy z poloprofilu
Poradové číslo:,86,MUDROCH JÁN (1909 - 1968),Stojací akt od zadu
Nevydražené,,MUDROCH JÁN (1909 - 1968),Stojací akt od zadu
Cena v predaji:,2 500 €,MUDROCH JÁN (1909 - 1968),Stojací akt od zadu
Poradové číslo:,87,MUDROCH JÁN (1909 - 1968),Sediaci akt
Nevydražené,,MUDROCH JÁN (1909 - 1968),Sediaci akt
Cena v predaji:,2 500 €,MUDROCH JÁN (1909 - 1968),Sediaci akt
Poradové číslo:,88,MUDROCH JÁN (1909 - 1968),Sediaci akt so založenými rukami
Nevydražené,,MUDROCH JÁN (1909 - 1968),Sediaci akt so založenými rukami
Cena v predaji:,500 €,MUDROCH JÁN (1909 - 1968),Sediaci akt so založenými rukami
Poradové číslo:,89,MUDROCH JÁN (1909 - 1968),Sediaci akt
Nevydražené,,MUDROCH JÁN (1909 - 1968),Sediaci akt
Cena v predaji:,500 €,MUDROCH JÁN (1909 - 1968),Sediaci akt
Poradové číslo:,90,JÁN MUDROCH (1909 - 1968),Hlava ženy
Nevydražené,,JÁN MUDROCH (1909 - 1968),Hlava ženy
Cena v predaji:,300 €,JÁN MUDROCH (1909 - 1968),Hlava ženy
Poradové číslo:,91,JAKOBY JÚLIUS (1903 - 1985),Dve postavy
Nevydražené,,JAKOBY JÚLIUS (1903 - 1985),Dve postavy
Cena v predaji:,7 000 €,JAKOBY JÚLIUS (1903 - 1985),Dve postavy
Poradové číslo:,92,LÖRINCZ JÚLIUS (1910 - 1980),Sama na puste
Vyvolávacia cena:,900 €,LÖRINCZ JÚLIUS (1910 - 1980),Sama na puste
Konečná cena:,900 €,LÖRINCZ JÚLIUS (1910 - 1980),Sama na puste
Poradové číslo:,93,STUDENÝ FRANTIŠEK (1911 - 1980),Kysucké polia
Nevydražené,,STUDENÝ FRANTIŠEK (1911 - 1980),Kysucké polia
Cena v predaji:,900 €,STUDENÝ FRANTIŠEK (1911 - 1980),Kysucké polia
Poradové číslo:,94,HLOŽNÍK VINCENT (1919 - 1997),Klaun
Nevydražené,,HLOŽNÍK VINCENT (1919 - 1997),Klaun
Cena v predaji:,2 800 €,HLOŽNÍK VINCENT (1919 - 1997),Klaun
Poradové číslo:,95,HLOŽNÍK VINCENT (1919 - 1997),Žehliarka
Nevydražené,,HLOŽNÍK VINCENT (1919 - 1997),Žehliarka
Cena v predaji:,1 100 €,HLOŽNÍK VINCENT (1919 - 1997),Žehliarka
Poradové číslo:,96,HLOŽNÍK VINCENT (1919 - 1997),Spiaca
Vyvolávacia cena:,1 000 €,HLOŽNÍK VINCENT (1919 - 1997),Spiaca
Konečná cena:,800 €,HLOŽNÍK VINCENT (1919 - 1997),Spiaca
Poradové číslo:,97,HLOŽNÍK VINCENT (1919 - 1997),Matka s dieťaťom
Vyvolávacia cena:,900 €,HLOŽNÍK VINCENT (1919 - 1997),Matka s dieťaťom
Konečná cena:,1 200 €,HLOŽNÍK VINCENT (1919 - 1997),Matka s dieťaťom
Poradové číslo:,98,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Storočie malomocných I.
Vyvolávacia cena:,1 000 €,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Storočie malomocných I.
Konečná cena:,850 €,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Storočie malomocných I.
Poradové číslo:,99,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Storočie malomocných II.
Vyvolávacia cena:,1 000 €,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Storočie malomocných II.
Konečná cena:,800 €,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Storočie malomocných II.
Poradové číslo:,100,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu storočie malomocných III.
Nevydražené,,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu storočie malomocných III.
Cena v predaji:,800 €,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu storočie malomocných III.
Poradové číslo:,101,HLOŽNÍK VINCENT (1919 - 1997),Človek a zver
Vyvolávacia cena:,2 000 €,HLOŽNÍK VINCENT (1919 - 1997),Človek a zver
Konečná cena:,6 200 €,HLOŽNÍK VINCENT (1919 - 1997),Človek a zver
Poradové číslo:,102,HLOŽNÍK VINCENT (1919 - 1997),Pád
Nevydražené,,HLOŽNÍK VINCENT (1919 - 1997),Pád
Cena v predaji:,700 €,HLOŽNÍK VINCENT (1919 - 1997),Pád
Poradové číslo:,103,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Apokalypsa
Vyvolávacia cena:,1 100 €,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Apokalypsa
Konečná cena:,1 400 €,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Apokalypsa
Poradové číslo:,104,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Apokalypsa XV.
Vyvolávacia cena:,500 €,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Apokalypsa XV.
Konečná cena:,1 000 €,HLOŽNÍK VINCENT (1919 - 1997),Z cyklu Apokalypsa XV.
Poradové číslo:,105,HLOŽNÍK FERDINAND (1921 - 2006),Pomník
Nevydražené,,HLOŽNÍK FERDINAND (1921 - 2006),Pomník
Cena v predaji:,3 000 €,HLOŽNÍK FERDINAND (1921 - 2006),Pomník
Poradové číslo:,106,SIKORA RUDOLF (1946),Z cyklu Výkričník
Vyvolávacia cena:,550 €,SIKORA RUDOLF (1946),Z cyklu Výkričník
Konečná cena:,550 €,SIKORA RUDOLF (1946),Z cyklu Výkričník
Poradové číslo:,107,VAVROVÁ KATARÍNA (1964),A čo je šťastie
